shadjamam|షడ్జమం 
Narada Gana Lola|నారద గణ లోల
Narada Gurusvami Ikanaina|నారద గురుస్వామి ఇకనువైన
Naradamuni Vedalina|నారదముని వెలిసిన
Narahari Deva|నరహరి దేవా
Narahari devaa|నరహరి దేవా
Narahariyai Vandan|నరహరియై వందన్
Narasimha Agaccha|నరసింహ అగచ్ఛ
Narasimha Enai|నరసింహ ఎనవై
Narasimha Mamava|నరసింహ మామవ
Narasimha Nannu Brovave|నరసింహ నన్ను బ్రోవవే
Narasimha nanu|నరసింహ నానూ
Naravara Raghunandana|నరవర రఘునందన
Narayana Divya|నారాయణ దివ్య
Narayana Hari Narayana|నారాయణ హరి నారాయణ
Narayana Nalinayata|నారాయణ నళినాయత
Narayana Namostute|నారాయణ నమోస్తుతే
Narayana Pilicite Ravademi|నారాయణ పిలిస్తే రవదేమి
Narimani Nikainadira|నారీమణి నికైనాదిరా
Narmada Kaveri Nilaiye|నర్మద కావేరి నిలయే
Nartana Ganapatim|నర్తనా గణపతిఁ
Narulaara cedi|నరులార చేటి
Natajana Palini Nalinakanti|నటజన పాలిని నలినకంటి
Natajana Paripala Ghana|నటజన పరిపాల ఘన
Natajana paalini|నటజనా పాణిని
Natajana paripaala|నటజన పరిపాల
Natamadum Nathan|నటనామధుం నాథన్
Natanam Adinar Vegu|నటనం ఆదిర్ వేగు
Natanam aadinaar|నటనం ఆదినార్
Natanam sheyyum paadanaar|నటనం షెయ్యూం పాతనార్
Nataraajaa sharanam|నటరాజా శరణం
Nava Lavanya|నవ లావణ్య
Nava laavanya|నవ లావన్య
Navaakshharamanustute|నవఅక్షరమనుస్తుతే
Navaavarana sampoojye|నవవరన సంపూజ్యే
Navaksharamanustute|నవకాశరమనుస్తుతే
Navamohana|నవమోహనా
Navaneeta cora|నవీపేట కొర
Navanita Cora|నవనీత కొర
Navaraatrotsava|నవతరతత్సవ
Navasiddhi Petralum|నవసిద్ధి పీఠాలం
Navasiddhi petraalum|నవసిద్ధి పీఠాలం
Navavarana Sampoojye|నవవరన సంపూజ్యే
Navukkarashanai|నవుకకరశ్నఔ
Nayen Unaiye|అనియె
Ne Jesina Neramu|నే జేసిన నేరము
Ne Morabettite Madilona|నే మొరబెటైట్ మదిలోన
Ne Pogadakunte Nikemi|నే పోగడకుంటే నికేమి
Ne morabettite|నే Morabettite
Ne pogadakunte|పొగడకపొతే నే
Nee Daan Meccikollavendum|నీ దన్ను మెసికొకొల్లవెందుకఁ
Nee Tan Appa|ఒక
Nee allaal ini|నీ అల్లాల్
Nee arul puriya vendum|నీ అరుల్ పురియ వెండుం
Nee balamaa|నీ బలమా
Nee bhajana|అన్నా
Nee bhakti bhaagya|నీ భక్తి భావగ్య
Nee caranambujamunu|నీ చరణంబుజమును
Nee ceyu|నీ సేయు
Nee cittamu naa|నీ చిత్తఅతిథి నా
Nee cittamu nishcalamu|నీ చిత్తఅతిథి నిష్కళము
Nee daan meccikollavendum|నీ దన్ను మెసికొకొల్లవెందుకఁ
Nee daya galguno|నీ శక్తి గల్గునో
Nee daya galgute|నీ శక్తి గల్గుటే
Nee daya raadaa|నీ శక్తి రాదా
Nee daya raavalegaaka|నీ శక్తి రవలనేగాక
Nee dayace|నీ దయచే
Nee dayaraadaa (varnam)|నీ దయారాదా (వర్ణనం)
Nee divya|నీ దివ్య
Nee gadiyaladu|నీ గాడియాలదు
Nee maatalu maayanuraa saami balkara (jaavali)|మొదటిది (జావళి).
Nee muddu momu|నీ ముద్దూ మోము
Nee paadame|నీ పాదమే
Nee paadame gati|ఆ గతి
Nee paadamulanu|నీ పాదములచేతను
Nee paadamule|నీ పాదములులే
Nee pada pankajamula|నీ మీద పంకజముల
Nee paraakramamu|నీ పరాకరామము
Nee saati evaru|నీ సతి ఏవరు
Nee samaanamevaru|నీ సమానమవేఱు
Nee taan appaa|నీ తాన్ అప్పా
Nee vara solla|నీ వర సోల
Needu Mahima|మహిమ
Needu caranamule|నీదు చరణములే
Needu mahima|ఆ మహిమ
Neeke daya raavaleraa|నీకే శక్తి రావయ్యా
Neeke dayaraaka|నీకే దయరాకా
Neeke teliyakapote|నీకే తెలియాకపొతే
Neekela Dayaradhu|దయారధు
Neekela naayeda|ఆ నయాెడ
Neekevari bodhana|నీకెవరి బొధన
Neeku sari evarooraa|నీకు చీర ఏమరా
Neeku tanaku|నీకు తనకూ
Neela kandam bhajeham|నీల కందం భజేం
Neela vanna kannaa|నీలా వన్నా కన్ననా
Neelaambara sodara|నెఆల్రెడీ ప్
Neelaayataakshhi|నీలాయతాఅక్షి
Neelakantha niranjana|ది
Neelalohitaa kaalakaala|ఆ ఆా
Neelamalark Kola|నీలమలార్క్ కోలా
Neenyaako ninna|నెన్నయకో నిన్నన్న
Neerada Sama Neela|నీరద సామ నీల
Neerada sama neela|నీరద అదే నీలా
Neevaada ne gaana|నీవాడా నే గాన
Neevanti deivamu|నీవంటి దేహము
Neevanti deivamunu|నీవంటి దేహమును
Neeve Nannu|ఆ నన్ను
Neeve itu|నీవె అది
Neeve maa dhanamu|నీవ్
Neeve nannu|ది నానీ
Neevegaani nannevaru|నీవేగాని నన్నెవ్వరు
Neevera kuladhanamu|నీవెర కులధానము
Neevu brovavalenamma|నీవు బ్రోవవలెనమ్మ
Neeyallavo|నెయిల్లవో
Neeye Gati En Taye|నేన్ తయే
Neeye gati en taaye|నీకంటి గతి డన్ తయే
Nekkurugee|ఆ నెకురుగీ
Nekkurugi Unnai|ఆ ఉనాయి
Nenaru Leni Vani|నెన్నఱు లెన్ని వాణి
Nenaru meeraganu|నెన్నఱు మీరగను
Nenaruncara Napaini|ఆ
Nenaruncaraa naapaini|A. నాపానీ
Nenarunci Brova|ది స్పిరిట్ ఆఫ్
Nenarunci brova (varnam)|నెన్నారుచి బ్రోవ (వర్ణం)
Nenarunci nannelukora (varnam)|(వర్ధనం-)
Nenaruncinaanu annitiki|అది
Nenaruncinanu Annitiki|ారెడి ఎ
Nenendu Vedukudura|వీడకురా పుణ్య
Nenendu vetukuduraa|ఎ. పి
Nenjamellaam|ఒక
Nenu cesina|ఆ
Neramellanu|అమెల్లాను
Neramu lennaka|నెరము లెన్నక
Neranammiti (varna)|నెనఁమిట్టి (వర్ణం)
Neranammiti Nive Gati|నెరనఁమిట్టి నివె గతి
Neranammiti nayya (varnam)|నెరనఁమిట్టి నయ్య (వర్ణనము)
Neranammitinayya|నెరనాఁమిట్టినయ్య
Netalalenura Ninnu|నీతలలనెర నిన్ను
Netrandi nerattile|నెట్రండి నెరటటైల్
Ni Allal Ini|నీ అల్లాల్ ఈ
Ni Balama Nama Balama|ని బలమ పేరు బలమ
Ni Bhajanagana Rasikula|రాజులో ఒక
Ni Bhakti Bhagya Sudhanidhi|ఖహ్య
Ni Caranambujamunu|ని చరణంబుజమును
Ni Cittamu Na Bhagyamayya|నీ చిత్తఅతిథి నా భాగ్యమయ్య
Ni Cittamu Nishcalamu|ని చిత్తఅతిథి నిష్కళము
Ni Daya Galguno|గల్గునో శక్తి
Ni Daya Rada|నీ యొక్క శక్తి
Ni Daya Ravalegaka Nenenta|నీ శక్తి రవళేకక నెంత
Ni Dayace Rama Nityanandudaiti|అతి
Ni Dayarada|అర్ద
Ni Dayarada-varnam|ని దయారద-వరణం
Ni Inda Mayam-varnam|నిద మయం-వరణం
Ni Irangayenil|ఆ రాజు
Ni Muddu Momu Jupave|నీ ముద్దూ మోము జూవె
Ni Nama Rupamulaku Nitya|నీ నామము రూపములకు నిత్య
Ni Ninaindal|ఆ
Ni Pada Pankajamula|ని న పంకాజముల
Ni Padame Gati Nalinakantimati|నళినకాంతిమతి గతి
Ni Padamule Gatiyani|ఎ. ఎ
Ni Poi Azhaittu|ని పోని అహాఇట్టు
Ni Samanamevaru|ని సమానమవేఱు
Ni Sari Sati Evaru Ledanucu|ది ఆర్ట్ ఆఫ్
Ni Sari Velpula Nenendu|సుధు లు
Ni Sati Daivamendu Ledani|ఎ. పి
Ni Sati Nive Ranga|, కార్యనిర్వాహక
Nidamoru Taram|నిడమర్రు తారకం
Nidhi Cala Sukhama|-చల సుఖమా
Nidhicaala sukhamaa|నిధిచనల సుఖమమ్మా
Nidu Carana|నిడు చరన
Nidu Caranamule Gatiyani|నిడు చరణములే గతియని
Nidu Murtini|నీదు మూర్తినీ
Nija Bhakti|నిజ భక్తి
Nija Dasa Varada|నిజ దాస వరదా
Nija Marmamulanu Delisina|నిజ మార్గములను దెలిసిన
Nija bhakti|నిజ భక్తి
Nija marmamulanu|ఆ మర్మాములనూ
Nijadaasa varadaa|నిజదాస వరదా
Nijamaite Mundara Niluvu|నింజామైతె ముందర నిలువు
Nijamaite mundara|నింజామైతె ముందర
Nijamuga Ni Mahimalu|నింజుగ నీ మహిమలూ
Nijamuga Rama|నిజముగ రామా
Nijamuga nee|నిజముగ నీ
Nijamuga raama|నిజముగ రామా
Nijamunnai Nambinen|నంబినెన్ విశ్వవిద్యాలయము
Nikabhimanamu Leda Rama|అభిమన్యము లేడా
Nike Dayaraka Ne Jeyu|నికె దయారక నే జేయు
Nike Teliyakapote|నీకే తెలియాకపొతే
Nikela Dayaradu Ramacandra|నికేల దయారదు రామచంద్ర
Nikela Nayeda|నికేల నాయెడ
Nikentani Danya|నికెని దన్య
Nikeppudu Daya Vaccuno|నికేప్డు
Niku Tanaku Runa Runi|నిక్కకు తనకూ రున రనీ
Nila Lohita Ramani|ఆ
Nilacala Natham Bhajeham|నతం భజేం
Nilakantha Mahadeva|కాటేజ్
Nilakantha Nityananda|ద అ
Nilakantham Bhajeham|అతి
Nilambari Jagadishvari|నీలాంబరి జగదీశ్వరి
Nilamegha Shyama|నీలమఘ శ్యామ
Nilavanam Thannil|ఆ రాజు
Nilayataksi Nive Jagatsaksi|నిలయతత్ చర్య నివే జగత్సాక్షి
Niliciyunnanu|నీరైయునననూ
Nilotpalambam Bhaja|భజ
Nilotpalambikaya|నీలతోపాలంబకాయ
Nilotpalambikayaha Tava|నీలతపాలంబికాయహ తవ
Nilotpalambikayam Bhaktim|ఆ భక్తిం
Niluparani Mohamuto|నీలపర్వణి మోహముతో
Nimishamaina|నిమిషామాగిన
Nin Arul Iyambalagumo|అరుల్ ఇయంబళగుమో
